record_id,country,iso3_code,region,income_group,year,quarter,quarter_label,industry_sector,sector_automation_risk_score,gdp_per_capita_usd,ai_adoption_index,pct_sector_workforce_displaced,pct_sector_workforce_new_roles_created,net_workforce_change_pct,ai_cited_layoff_announcements,ai_skill_wage_premium_pct,pct_workforce_female,pct_displaced_roles_female,reskilling_programs_count,govt_ai_policy_score_1_to_10,ai_tool_adoption_pct,data_source_notes
1,United States,USA,North America,High Income,2020,1,2020-Q1,Technology & Software,0.382,63514,0.83,0.0406,0.0348,-0.0058,32,0.311,0.28,0.275,52,6.4,0.28,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4045,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Retail & E-Commerce,0.715,55505,0.874,0.1293,0.084,-0.0453,126,0.344,0.54,0.565,72,7.0,0.568,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4046,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Education & Research,0.27,55505,0.881,0.0497,0.0467,-0.003,12,0.472,0.58,0.623,65,8.0,0.214,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4047,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Transportation & Logistics,0.664,55505,0.9,0.1402,0.0834,-0.0568,125,0.413,0.22,0.234,49,7.4,0.519,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4048,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Media & Communications,0.566,55505,0.875,0.0977,0.0879,-0.0098,74,0.436,0.46,0.511,61,6.9,0.387,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4049,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Administrative & Clerical,0.78,55505,0.879,0.2042,0.157,-0.0472,260,0.479,0.79,0.95,69,7.1,0.789,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4050,Netherlands,NLD,Europe,High Income,2023,3,2023-Q3,Energy & Utilities,0.424,55505,0.872,0.0892,0.0543,-0.0349,65,0.378,0.26,0.285,68,7.6,0.367,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4051,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Technology & Software,0.379,54781,0.866,0.0729,0.0603,-0.0126,78,0.421,0.28,0.297,50,7.0,0.36,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4052,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Finance & Banking,0.613,54781,0.865,0.1137,0.067,-0.0467,206,0.387,0.48,0.533,50,7.1,0.425,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4053,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Healthcare & Life Sciences,0.264,54781,0.868,0.0405,0.0322,-0.0083,26,0.414,0.72,0.806,56,6.7,0.174,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4054,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Manufacturing & Industry,0.745,54781,0.883,0.1905,0.11,-0.0805,141,0.384,0.29,0.319,61,6.5,0.603,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4055,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Retail & E-Commerce,0.677,54781,0.887,0.1562,0.1344,-0.0218,130,0.449,0.54,0.577,61,6.7,0.53,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4056,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Education & Research,0.27,54781,0.86,0.0437,0.037,-0.0067,15,0.445,0.58,0.653,72,6.9,0.249,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4057,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Transportation & Logistics,0.673,54781,0.871,0.1448,0.0786,-0.0662,121,0.405,0.22,0.238,67,7.9,0.537,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4058,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Media & Communications,0.539,54781,0.87,0.0869,0.0632,-0.0237,99,0.39,0.46,0.456,69,6.6,0.456,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4059,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Administrative & Clerical,0.779,54781,0.872,0.1919,0.138,-0.0539,394,0.402,0.79,0.95,68,6.6,0.553,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4060,Netherlands,NLD,Europe,High Income,2023,4,2023-Q4,Energy & Utilities,0.456,54781,0.871,0.0741,0.0639,-0.0102,50,0.396,0.26,0.261,66,7.0,0.348,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4061,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Technology & Software,0.369,55314,0.887,0.0794,0.054,-0.0254,123,0.449,0.28,0.308,72,7.2,0.286,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4062,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Finance & Banking,0.6,55314,0.913,0.1268,0.1194,-0.0074,146,0.526,0.48,0.484,65,6.4,0.613,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4063,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Healthcare & Life Sciences,0.261,55314,0.878,0.0392,0.0376,-0.0016,27,0.422,0.72,0.746,74,6.9,0.231,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4064,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Manufacturing & Industry,0.737,55314,0.884,0.1578,0.1207,-0.0371,187,0.454,0.29,0.291,64,7.2,0.666,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4065,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Retail & E-Commerce,0.695,55314,0.864,0.1352,0.1044,-0.0308,94,0.394,0.54,0.582,61,6.6,0.689,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4066,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Education & Research,0.256,55314,0.857,0.0405,0.0309,-0.0096,13,0.479,0.58,0.652,71,7.6,0.243,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4067,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Transportation & Logistics,0.686,55314,0.879,0.1289,0.1227,-0.0062,172,0.403,0.22,0.232,58,7.3,0.527,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4068,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Media & Communications,0.562,55314,0.878,0.1315,0.1013,-0.0302,79,0.44,0.46,0.509,74,7.7,0.52,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4069,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Administrative & Clerical,0.791,55314,0.871,0.2187,0.1899,-0.0288,328,0.444,0.79,0.95,58,7.6,0.729,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4070,Netherlands,NLD,Europe,High Income,2024,1,2024-Q1,Energy & Utilities,0.47,55314,0.904,0.0895,0.0767,-0.0128,47,0.455,0.26,0.255,56,7.1,0.42,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4071,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Technology & Software,0.346,57873,0.889,0.0951,0.0846,-0.0105,86,0.494,0.28,0.305,59,6.7,0.292,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4072,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Finance & Banking,0.638,57873,0.865,0.1287,0.0999,-0.0288,174,0.448,0.48,0.517,77,7.5,0.535,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4073,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Healthcare & Life Sciences,0.261,57873,0.891,0.0396,0.0295,-0.0101,20,0.455,0.72,0.725,70,6.9,0.194,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4074,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Manufacturing & Industry,0.724,57873,0.871,0.144,0.1076,-0.0364,193,0.442,0.29,0.288,53,7.7,0.652,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4075,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Retail & E-Commerce,0.689,57873,0.893,0.1289,0.1018,-0.0271,149,0.463,0.54,0.537,67,6.9,0.643,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4076,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Education & Research,0.266,57873,0.887,0.0501,0.0406,-0.0095,17,0.492,0.58,0.566,73,7.0,0.284,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4077,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Transportation & Logistics,0.714,57873,0.889,0.1741,0.099,-0.0751,137,0.48,0.22,0.234,62,7.2,0.626,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4078,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Media & Communications,0.57,57873,0.882,0.1374,0.0829,-0.0545,102,0.426,0.46,0.507,70,6.5,0.405,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4079,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Administrative & Clerical,0.806,57873,0.861,0.2167,0.1899,-0.0268,230,0.469,0.79,0.95,79,6.8,0.562,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4080,Netherlands,NLD,Europe,High Income,2024,2,2024-Q2,Energy & Utilities,0.449,57873,0.873,0.0719,0.0405,-0.0314,67,0.433,0.26,0.258,55,7.2,0.361,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4081,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Technology & Software,0.397,56083,0.912,0.085,0.0661,-0.0189,145,0.45,0.28,0.296,56,7.1,0.303,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4082,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Finance & Banking,0.626,56083,0.894,0.1593,0.1142,-0.0451,138,0.417,0.48,0.528,77,7.5,0.648,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4083,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Healthcare & Life Sciences,0.245,56083,0.9,0.0516,0.0413,-0.0103,25,0.458,0.72,0.704,62,7.3,0.226,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4084,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Manufacturing & Industry,0.735,56083,0.899,0.1758,0.0982,-0.0776,180,0.461,0.29,0.312,67,7.6,0.78,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4085,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Retail & E-Commerce,0.704,56083,0.888,0.1782,0.1603,-0.0179,155,0.473,0.54,0.6,55,7.2,0.608,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4086,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Education & Research,0.278,56083,0.874,0.0551,0.0429,-0.0122,26,0.451,0.58,0.593,60,7.2,0.281,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4087,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Transportation & Logistics,0.706,56083,0.901,0.1658,0.1199,-0.0459,131,0.438,0.22,0.246,76,7.4,0.733,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4088,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Media & Communications,0.554,56083,0.894,0.1096,0.0578,-0.0518,100,0.455,0.46,0.483,75,7.4,0.488,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4089,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Administrative & Clerical,0.791,56083,0.871,0.2224,0.1756,-0.0468,346,0.441,0.79,0.95,55,7.2,0.615,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4090,Netherlands,NLD,Europe,High Income,2024,3,2024-Q3,Energy & Utilities,0.445,56083,0.887,0.0798,0.0524,-0.0274,48,0.43,0.26,0.295,74,7.2,0.353,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4091,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Technology & Software,0.377,56941,0.883,0.1202,0.0928,-0.0274,74,0.426,0.28,0.285,72,7.3,0.324,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4092,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Finance & Banking,0.61,56941,0.902,0.1442,0.1353,-0.0089,133,0.42,0.48,0.522,66,6.7,0.486,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4093,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Healthcare & Life Sciences,0.225,56941,0.898,0.0443,0.0266,-0.0177,23,0.46,0.72,0.731,63,7.1,0.228,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4094,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Manufacturing & Industry,0.741,56941,0.882,0.1696,0.1253,-0.0443,201,0.467,0.29,0.287,58,7.3,0.759,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4095,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Retail & E-Commerce,0.693,56941,0.873,0.1317,0.0893,-0.0424,110,0.448,0.54,0.612,76,6.7,0.633,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4096,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Education & Research,0.252,56941,0.902,0.0475,0.0336,-0.0139,30,0.447,0.58,0.651,73,7.4,0.29,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4097,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Transportation & Logistics,0.694,56941,0.89,0.1464,0.1416,-0.0048,151,0.441,0.22,0.242,64,7.4,0.575,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4098,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Media & Communications,0.513,56941,0.877,0.1021,0.0575,-0.0446,90,0.42,0.46,0.514,73,7.5,0.574,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4099,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Administrative & Clerical,0.778,56941,0.887,0.2332,0.15,-0.0832,434,0.474,0.79,0.95,63,7.3,0.567,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4100,Netherlands,NLD,Europe,High Income,2024,4,2024-Q4,Energy & Utilities,0.44,56941,0.901,0.0982,0.0875,-0.0107,55,0.51,0.26,0.293,72,6.9,0.332,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4101,Netherlands,NLD,Europe,High Income,2025,1,2025-Q1,Technology & Software,0.398,58818,0.908,0.118,0.0892,-0.0288,157,0.449,0.28,0.272,72,7.8,0.303,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4102,Netherlands,NLD,Europe,High Income,2025,1,2025-Q1,Finance & Banking,0.587,58818,0.925,0.1481,0.0951,-0.053,162,0.483,0.48,0.495,80,8.1,0.647,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
4103,Netherlands,NLD,Europe,High Income,2025,1,2025-Q1,Healthcare & Life Sciences,0.205,58818,0.878,0.0417,0.0358,-0.0059,26,0.44,0.72,0.768,82,7.3,0.227,Research-calibrated synthetic data. Grounded in: WEF Future of Jobs 2025; Goldman Sachs GenAI Labour Report 2025; McKinsey State of AI 2025; OECD Employment Outlook 2025; BLS O*NET Automation Scores; Layoffs.fyi 2025; PwC AI Jobs Barometer 2025; IMF WEO 2025.
